model,fold,seed,dataset,device,mean_ms,sd_ms,median_ms,p95_ms,windows_per_second,peak_cuda_memory_mb
Full S1,1,42,MAFAULDA,cuda,7.683533637046814,0.04953916017718423,7.672688007354736,7.751782298088074,130.14845086099638,33.5625
K1,1,42,CWRU,cuda,4.0529466896057125,0.03631736044315368,4.046847820281982,4.098148989677429,246.73406205036568,28.2783203125
K1,1,42,JNU,cuda,4.167239555358886,0.027652176693422213,4.160607814788818,4.218271803855896,239.9670061477613,28.564453125
K1,1,42,HIT,cuda,4.143846782684326,0.02298426832395475,4.140031814575195,4.180814361572265,241.32166376871058,21.15087890625
K1,1,42,MAFAULDA,cuda,4.160583106994629,0.025272783038913855,4.154367923736572,4.205864143371582,240.3509254072667,28.564453125
Full S1,1,1337,CWRU,cuda,7.420824504852295,0.03208306640255985,7.415888071060181,7.476052641868591,134.75591551129185,33.228515625
Full S1,1,1337,JNU,cuda,7.742906254768371,0.07204886641476722,7.738368034362793,7.772007846832276,129.15047232867667,33.5625
Full S1,1,1337,HIT,cuda,7.697112313270569,0.06489507294342174,7.684063911437988,7.767409753799439,129.91885259045821,25.58642578125
Full S1,1,1337,MAFAULDA,cuda,7.76736620426178,0.13042821075473107,7.726063966751099,8.120828485488891,128.74376895624187,33.5625
K1,1,1337,CWRU,cuda,4.060524228572845,0.06120304552561953,4.040175914764404,4.160767960548401,246.27361978615028,28.2783203125
K1,1,1337,JNU,cuda,4.1852970180511475,0.041684768501616315,4.170175790786743,4.266721630096435,238.93166857382144,28.564453125
K1,1,1337,HIT,cuda,4.199492918014526,0.05993265326925581,4.177919864654541,4.309476780891418,238.12398771058983,21.15087890625
K1,1,1337,MAFAULDA,cuda,4.183273344993592,0.03930637199470509,4.169824123382568,4.26603524684906,239.04725260106852,28.564453125
Full S1,1,2026,CWRU,cuda,7.469015235900879,0.07820461308154314,7.4513280391693115,7.576438403129577,133.88645871190067,33.228515625
Full S1,1,2026,JNU,cuda,7.766224192619323,0.10535316023683457,7.737296104431152,7.9433504819869984,128.76270053475355,33.5625
Full S1,1,2026,HIT,cuda,7.748416844367981,0.09601235835765935,7.734959840774536,7.877068710327148,129.058621920536,25.58642578125
Full S1,1,2026,MAFAULDA,cuda,7.758550015449524,0.07592938715100518,7.745248079299927,7.878422403335571,128.8900629639185,33.5625
K1,1,2026,CWRU,cuda,4.067998780727386,0.04980574834439813,4.049920082092285,4.170752048492432,245.82111595942837,28.2783203125
K1,1,2026,JNU,cuda,4.213580480575562,0.08341552550018652,4.184063911437988,4.394582271575928,237.32785088832648,28.564453125
K1,1,2026,HIT,cuda,4.194576888084412,0.07611758860886814,4.168623924255371,4.369664120674133,238.40306821904082,21.15087890625
K1,1,2026,MAFAULDA,cuda,4.188034118652344,0.05057795842472254,4.169327974319458,4.2893647909164425,238.77551415980042,28.564453125
Full S1,2,42,CWRU,cuda,7.496863426208496,0.06550741456690388,7.483391761779785,7.6008384943008425,133.38911797486824,33.228515625
Full S1,2,42,JNU,cuda,7.77339520740509,0.11354907420593714,7.754447937011719,7.913008189201355,128.64391598762148,33.5625
Full S1,2,42,HIT,cuda,7.7464536905288695,0.07889993214420676,7.735392093658447,7.861396598815918,129.09132874861703,25.58642578125
Full S1,2,42,MAFAULDA,cuda,7.770081416130066,0.08088401373562952,7.759871959686279,7.895859408378601,128.69878016002255,33.5625
K1,2,42,CWRU,cuda,4.0665310096740725,0.04961315833728133,4.047872066497803,4.166452765464783,245.90984247287193,28.2783203125
K1,2,42,JNU,cuda,4.201900547981262,0.07007129553847159,4.17737603187561,4.311427092552185,237.9875460118718,28.564453125
