arm,fold,seed,dataset,numeric_or_original_label,class,precision,recall,f1,support,roc_auc,positive_n,negative_n
S1,2,42,MaFaulDa,overhang/ball_fault,overhang/ball fault,1.0,1.0,1.0,100,1.0,100,1880
S1,2,42,MaFaulDa,overhang/cage_fault,overhang/cage fault,1.0,0.9959183673469388,0.9979550102249488,245,1.0,245,1735
S1,2,42,MaFaulDa,overhang/outer_race,overhang/outer race,0.9959349593495936,1.0,0.9979633401221996,245,1.0,245,1735
S1,2,1337,JNU,n,healthy,1.0,1.0,1.0,15,1.0,15,9
S1,2,1337,JNU,ib,inner race fault,1.0,1.0,1.0,3,1.0,3,21
S1,2,1337,JNU,ob,outer race fault,1.0,1.0,1.0,3,1.0,3,21
S1,2,1337,JNU,tb,rolling element fault,1.0,1.0,1.0,3,1.0,3,21
S1,2,1337,HIT,0,healthy,1.0,1.0,1.0,112,1.0,112,168
S1,2,1337,HIT,1,inner race fault,1.0,1.0,1.0,112,1.0,112,168
S1,2,1337,HIT,2,outer race fault,1.0,1.0,1.0,56,1.0,56,224
S1,2,1337,MaFaulDa,normal,normal,0.4022988505747126,1.0,0.5737704918032787,35,0.9979140653690782,35,1945
S1,2,1337,MaFaulDa,imbalance,imbalance,0.844,0.8612244897959184,0.8525252525252526,245,0.9849908839616539,245,1735
S1,2,1337,MaFaulDa,horizontal-misalignment,horizontal-misalignment,0.5,0.0040816326530612,0.0080971659919028,245,0.9194071634417456,245,1735
S1,2,1337,MaFaulDa,vertical-misalignment,vertical-misalignment,0.5630630630630631,1.0,0.7204610951008645,250,0.985579190751445,250,1730
S1,2,1337,MaFaulDa,underhang/ball_fault,underhang/ball fault,0.9895833333333334,1.0,0.9947643979057592,190,1.0,190,1790
